"x","y","elevation"
-113.10249987946,37.5125000964992,2587
-113.101666546127,37.5125000964992,2585
-113.100833212793,37.5125000964992,2589
-113.09999987946,37.5125000964992,2613
-113.099166546127,37.5125000964992,2641
-113.098333212793,37.5125000964992,2665
-113.09749987946,37.5125000964992,2683
-113.096666546127,37.5125000964992,2697
-113.095833212794,37.5125000964992,2703
-113.09499987946,37.5125000964992,2707
-113.094166546127,37.5125000964992,2703
-113.093333212794,37.5125000964992,2698
-113.09249987946,37.5125000964992,2693
-113.091666546127,37.5125000964992,2686
-113.090833212794,37.5125000964992,2678
-113.089999879461,37.5125000964992,2668
-113.089166546127,37.5125000964992,2665
-113.088333212794,37.5125000964992,2665
-113.087499879461,37.5125000964992,2666
-113.086666546128,37.5125000964992,2658
-113.085833212794,37.5125000964992,2652
-113.084999879461,37.5125000964992,2659
-113.084166546128,37.5125000964992,2673
-113.083333212794,37.5125000964992,2679
-113.082499879461,37.5125000964992,2685
-113.081666546128,37.5125000964992,2690
-113.080833212795,37.5125000964992,2702
-113.079999879461,37.5125000964992,2714
-113.079166546128,37.5125000964992,2725
-113.078333212795,37.5125000964992,2745
-113.077499879461,37.5125000964992,2772
-113.076666546128,37.5125000964992,2807
-113.075833212795,37.5125000964992,2843
-113.074999879462,37.5125000964992,2864
-113.074166546128,37.5125000964992,2884
-113.073333212795,37.5125000964992,2891
-113.072499879462,37.5125000964992,2891
-113.071666546129,37.5125000964992,2884
-113.070833212795,37.5125000964992,2875
-113.069999879462,37.5125000964992,2868
-113.069166546129,37.5125000964992,2861
-113.068333212795,37.5125000964992,2858
-113.067499879462,37.5125000964992,2857
-113.066666546129,37.5125000964992,2856
-113.065833212796,37.5125000964992,2855
-113.064999879462,37.5125000964992,2864
-113.064166546129,37.5125000964992,2869
-113.063333212796,37.5125000964992,2872
-113.062499879462,37.5125000964992,2873
-113.061666546129,37.5125000964992,2879
-113.060833212796,37.5125000964992,2879
-113.059999879463,37.5125000964992,2875
-113.059166546129,37.5125000964992,2867
-113.058333212796,37.5125000964992,2859
-113.057499879463,37.5125000964992,2854
-113.05666654613,37.5125000964992,2850
-113.055833212796,37.5125000964992,2847
-113.054999879463,37.5125000964992,2844
-113.05416654613,37.5125000964992,2842
-113.053333212796,37.5125000964992,2838
-113.052499879463,37.5125000964992,2832
-113.05166654613,37.5125000964992,2829
-113.050833212797,37.5125000964992,2822
-113.049999879463,37.5125000964992,2813
-113.04916654613,37.5125000964992,2803
-113.048333212797,37.5125000964992,2799
-113.047499879464,37.5125000964992,2797
-113.04666654613,37.5125000964992,2793
-113.045833212797,37.5125000964992,2789
-113.044999879464,37.5125000964992,2786
-113.04416654613,37.5125000964992,2781
-113.043333212797,37.5125000964992,2773
-113.042499879464,37.5125000964992,2772
-113.041666546131,37.5125000964992,2788
-113.040833212797,37.5125000964992,2800
-113.039999879464,37.5125000964992,2799
-113.039166546131,37.5125000964992,2792
-113.038333212797,37.5125000964992,2788
-113.037499879464,37.5125000964992,2783
-113.036666546131,37.5125000964992,2779
-113.035833212798,37.5125000964992,2775
-113.034999879464,37.5125000964992,2773
-113.034166546131,37.5125000964992,2780
-113.033333212798,37.5125000964992,2787
-113.032499879464,37.5125000964992,2796
-113.031666546131,37.5125000964992,2807
-113.030833212798,37.5125000964992,2811
-113.029999879465,37.5125000964992,2810
-113.029166546131,37.5125000964992,2810
-113.028333212798,37.5125000964992,2808
-113.027499879465,37.5125000964992,2801
-113.026666546132,37.5125000964992,2796
-113.025833212798,37.5125000964992,2795
-113.024999879465,37.5125000964992,2795
-113.024166546132,37.5125000964992,2794
-113.023333212798,37.5125000964992,2786
-113.022499879465,37.5125000964992,2785
-113.021666546132,37.5125000964992,2781
-113.020833212799,37.5125000964992,2768
-113.019999879465,37.5125000964992,2751
-113.019166546132,37.5125000964992,2746
-113.018333212799,37.5125000964992,2744
-113.017499879466,37.5125000964992,2734
-113.016666546132,37.5125000964992,2728
-113.015833212799,37.5125000964992,2717
-113.014999879466,37.5125000964992,2704
-113.014166546132,37.5125000964992,2692
