factor_id,purity,n_articles,factor_rank,factor_label
16902,0.8609853858095,119,339,339 | factor 16902
19238,0.8608923217491694,98,340,340 | factor 19238
25535,0.8608601739193082,31,341,341 | factor 25535
11100,0.8603995562953437,54,342,342 | factor 11100
21152,0.8600523556152585,80,343,343 | factor 21152
23568,0.8593781591636587,647,344,344 | factor 23568
2547,0.8593586645594139,129,345,345 | factor 2547
6433,0.8591504814777255,81,346,346 | factor 6433
4715,0.8588162110346514,205,347,347 | factor 4715
13707,0.8587344213771533,61,348,348 | factor 13707
24190,0.8585000245689042,60,349,349 | factor 24190
6681,0.858498607531033,42,350,350 | factor 6681
10989,0.8579102964272705,38,351,351 | factor 10989
17228,0.8570997664294838,42,352,352 | factor 17228
1729,0.8570483178045207,172,353,353 | factor 1729
19682,0.8568405135403471,95,354,354 | factor 19682
12147,0.8567069718991338,102,355,355 | factor 12147
31048,0.8564007548272817,636,356,356 | factor 31048
17009,0.8562906355892533,181,357,357 | factor 17009
14433,0.8557835584437702,87,358,358 | factor 14433
27508,0.8555774685955031,108,359,359 | factor 27508
3760,0.855445107284424,31,360,360 | factor 3760
26144,0.8554001606378854,32,361,361 | factor 26144
26210,0.8550779689255784,91,362,362 | factor 26210
11885,0.8547046761616536,88,363,363 | factor 11885
26137,0.8546290650879751,45,364,364 | factor 26137
5323,0.8545363994866854,30,365,365 | factor 5323
19034,0.8544743960110368,168,366,366 | factor 19034
30984,0.8543133839958323,46,367,367 | factor 30984
31930,0.8538678524467548,344,368,368 | factor 31930
6123,0.8537208861930216,249,369,369 | factor 6123
29086,0.8535098554954926,37,370,370 | factor 29086
19923,0.8534801697400671,43,371,371 | factor 19923
22473,0.8528815526066851,23,372,372 | factor 22473
28380,0.8527172604256212,26,373,373 | factor 28380
14927,0.8525160813084947,54,374,374 | factor 14927
10253,0.8525126017399162,34,375,375 | factor 10253
27578,0.8520606158663118,52,376,376 | factor 27578
7824,0.8518767252953791,31,377,377 | factor 7824
16540,0.8516533822504976,112,378,378 | factor 16540
7853,0.8513271753086915,21,379,379 | factor 7853
16308,0.8507241992523674,378,380,380 | factor 16308
3764,0.8500499528859081,68,381,381 | factor 3764
4514,0.8499853372776746,29,382,382 | factor 4514
6416,0.8499494139186814,21,383,383 | factor 6416
18933,0.8497195929418321,26,384,384 | factor 18933
15843,0.8489750827120317,436,385,385 | factor 15843
6375,0.848563316976549,471,386,386 | factor 6375
15591,0.8484632955950344,29,387,387 | factor 15591
31144,0.848232848440194,86,388,388 | factor 31144
5511,0.8481440395434546,27,389,389 | factor 5511
7545,0.8476171354663715,83,390,390 | factor 7545
15648,0.8470168249069665,29,391,391 | factor 15648
16716,0.8469029797037199,81,392,392 | factor 16716
29236,0.8468054378279852,64,393,393 | factor 29236
15584,0.8467613594595697,136,394,394 | factor 15584
12616,0.8465994861648903,46,395,395 | factor 12616
15325,0.8464866616062982,57,396,396 | factor 15325
19518,0.8464453190368308,55,397,397 | factor 19518
25760,0.8463978511788278,60,398,398 | factor 25760
1802,0.8462802544434346,59,399,399 | factor 1802
16307,0.8462773489729156,790,400,400 | factor 16307
9995,0.8461542568759363,46,401,401 | factor 9995
16482,0.8459680198043205,77,402,402 | factor 16482
13814,0.8459088578963284,199,403,403 | factor 13814
2725,0.8458610524724302,76,404,404 | factor 2725
32581,0.8457392333046105,263,405,405 | factor 32581
22129,0.8457380709377977,81,406,406 | factor 22129
5094,0.8457299248733766,48,407,407 | factor 5094
11710,0.8455392306709665,75,408,408 | factor 11710
8013,0.8453571154509907,22,409,409 | factor 8013
4272,0.8452991137910046,22,410,410 | factor 4272
5016,0.8452531062832788,51,411,411 | factor 5016
5309,0.8451852924898869,124,412,412 | factor 5309
19328,0.8448344867626326,79,413,413 | factor 19328
13949,0.8440123253774352,1673,414,414 | factor 13949
17454,0.8438565651674576,519,415,415 | factor 17454
278,0.8435446091116031,62,416,416 | factor 278
15135,0.8432617536375452,44,417,417 | factor 15135
2713,0.8431509106409996,200,418,418 | factor 2713
30403,0.8430999033433015,107,419,419 | factor 30403
3238,0.8428129467936857,105,420,420 | factor 3238
5891,0.8426638981244814,39,421,421 | factor 5891
8266,0.8425828243983898,69,422,422 | factor 8266
11090,0.8424122972683236,791,423,423 | factor 11090
32109,0.8422760868553559,21,424,424 | factor 32109
18251,0.8418344998677422,51,425,425 | factor 18251
25945,0.8411628152021111,76,426,426 | factor 25945
29967,0.8409283185465163,39,427,427 | factor 29967
12119,0.8406101235925533,101,428,428 | factor 12119
30233,0.840403654782137,26,429,429 | factor 30233
9361,0.8401250424026034,43,430,430 | factor 9361
28247,0.8392370249058607,1047,431,431 | factor 28247
13135,0.8391531718505196,42,432,432 | factor 13135
26923,0.8388800041916159,494,433,433 | factor 26923
30882,0.8385386468836427,311,434,434 | factor 30882
26535,0.8385359722935758,21,435,435 | factor 26535
9038,0.8383667148080169,28,436,436 | factor 9038
17512,0.8380424623171591,329,437,437 | factor 17512
19771,0.8379691872076152,20,438,438 | factor 19771
11646,0.8379668950059227,39,439,439 | factor 11646
7007,0.8377781377063501,89,440,440 | factor 7007
16932,0.8376697340785874,42,441,441 | factor 16932
6217,0.8368687416027745,106,442,442 | factor 6217
20971,0.8367917497622953,187,443,443 | factor 20971
19660,0.8366508186564491,56,444,444 | factor 19660
5173,0.8365390892913985,50,445,445 | factor 5173
32690,0.836528859883579,20,446,446 | factor 32690
21198,0.8364766465336522,24,447,447 | factor 21198
30498,0.8361313910044448,38,448,448 | factor 30498
32274,0.8359769527703079,21,449,449 | factor 32274
14330,0.8354534057349653,22,450,450 | factor 14330
15694,0.8353743079319778,117,451,451 | factor 15694
22623,0.8344185600531787,787,452,452 | factor 22623
31323,0.8343321292935233,87,453,453 | factor 31323
1184,0.834090462636002,955,454,454 | factor 1184
4760,0.833748659648514,23,455,455 | factor 4760
23062,0.8332710547877223,69,456,456 | factor 23062
11920,0.833264604822791,35,457,457 | factor 11920
31482,0.8331139126442024,61,458,458 | factor 31482
1312,0.8330215619146503,32,459,459 | factor 1312
5636,0.8329140564732499,174,460,460 | factor 5636
6170,0.8327848469894829,132,461,461 | factor 6170
12904,0.832404578258,33,462,462 | factor 12904
4162,0.8323244338364638,59,463,463 | factor 4162
13642,0.8320521473069408,88,464,464 | factor 13642
8109,0.8319418300193179,23,465,465 | factor 8109
9570,0.8319083648194996,112,466,466 | factor 9570
13801,0.8315129425148748,34,467,467 | factor 13801
19566,0.8314376032322064,195,468,468 | factor 19566
16600,0.8313658482000601,56,469,469 | factor 16600
10708,0.8307042377471693,138,470,470 | factor 10708
17138,0.8301117394834511,36,471,471 | factor 17138
283,0.8300488015111698,23,472,472 | factor 283
32293,0.8300131864838003,45,473,473 | factor 32293
27968,0.8299920202855591,119,474,474 | factor 27968
22732,0.8297958495153548,74,475,475 | factor 22732
16697,0.8297562631484178,76,476,476 | factor 16697
30510,0.8294611185954147,129,477,477 | factor 30510
13679,0.8291166400101153,20,478,478 | factor 13679
21854,0.8286730647917002,50,479,479 | factor 21854
18906,0.8286022798313092,30,480,480 | factor 18906
22552,0.8283376003803262,731,481,481 | factor 22552
29062,0.8283000021136067,25,482,482 | factor 29062
1400,0.828187973108711,59,483,483 | factor 1400
23652,0.8280762374414331,21,484,484 | factor 23652
11431,0.8280128850814791,298,485,485 | factor 11431
25278,0.8279045151798825,36,486,486 | factor 25278
2245,0.8275373556420114,20,487,487 | factor 2245
17811,0.8272696800901834,59,488,488 | factor 17811
20611,0.8268042377974392,42,489,489 | factor 20611
4542,0.8266055685767952,22,490,490 | factor 4542
13542,0.8265168895755142,244,491,491 | factor 13542
241,0.8264841661629664,87,492,492 | factor 241
9824,0.8262673596060998,925,493,493 | factor 9824
10823,0.8259211742923679,325,494,494 | factor 10823
11235,0.8252413453127135,108,495,495 | factor 11235
13232,0.825032407929364,29,496,496 | factor 13232
32272,0.8249246033016264,44,497,497 | factor 32272
6400,0.8248526432595553,25,498,498 | factor 6400
31865,0.8247090840984597,37,499,499 | factor 31865
457,0.824594813898651,20,500,500 | factor 457
30239,0.8241094201551261,115,501,501 | factor 30239
28450,0.8239645479806424,486,502,502 | factor 28450
6184,0.8239620071346884,113,503,503 | factor 6184
20198,0.823899706308258,56,504,504 | factor 20198
31849,0.8237842433966391,41,505,505 | factor 31849
31975,0.8236997004520086,54,506,506 | factor 31975
21354,0.8236039506706346,359,507,507 | factor 21354
5154,0.8234636811839806,574,508,508 | factor 5154
10639,0.8234144669570498,123,509,509 | factor 10639
20376,0.8229436001255278,30,510,510 | factor 20376
18987,0.8224556343187053,63,511,511 | factor 18987
11946,0.822439149086665,38,512,512 | factor 11946
22892,0.8218336871860688,24,513,513 | factor 22892
11027,0.8218317664757873,25,514,514 | factor 11027
31280,0.8216989821707628,95,515,515 | factor 31280
16537,0.8215152944275939,20,516,516 | factor 16537
11990,0.8213378621410485,62,517,517 | factor 11990
13385,0.8211396953874922,870,518,518 | factor 13385
18661,0.8211119887427851,21,519,519 | factor 18661
21669,0.8209358543955251,28,520,520 | factor 21669
