E3,Magnitude,.draw,PC1,PC2
-0.178,-0.6739416552834576,6,6.985190517274482,-6.9549301701197175
-0.021,-0.513220805393858,6,6.985190517274482,-6.9549301701197175
-0.015,-0.506451358302976,6,6.985190517274482,-6.9549301701197175
0.047,-0.4338486957261837,6,6.985190517274482,-6.9549301701197175
0.055,-0.4241267894407561,6,6.985190517274482,-6.9549301701197175
0.195,-0.24077827629058987,6,6.985190517274482,-6.9549301701197175
0.222,-0.20253077961218047,6,6.985190517274482,-6.9549301701197175
0.264,-0.14125185752669678,6,6.985190517274482,-6.9549301701197175
0.297,-0.09167358714594194,6,6.985190517274482,-6.9549301701197175
0.34,-0.02543135943614058,6,6.985190517274482,-6.9549301701197175
0.487,0.21049831299236216,6,6.985190517274482,-6.9549301701197175
0.665,0.5002705379153993,6,6.985190517274482,-6.9549301701197175
0.764,0.6548244020991372,6,6.985190517274482,-6.9549301701197175
1.023,0.999979041629608,6,6.985190517274482,-6.9549301701197175
1.132,1.1073305100107795,6,6.985190517274482,-6.9549301701197175
1.133,1.1081921726236705,6,6.985190517274482,-6.9549301701197175
1.342,1.2417469548706463,6,6.985190517274482,-6.9549301701197175
1.465,1.282949223609353,6,6.985190517274482,-6.9549301701197175
1.472,1.284597990951866,6,6.985190517274482,-6.9549301701197175
2.086,1.2207098551143722,6,6.985190517274482,-6.9549301701197175
2.367,1.113639700994022,6,6.985190517274482,-6.9549301701197175
-1.917,0.45594558425680176,7,-2.315294790043146,1.2879179358842228
-1.724,0.25714648935417334,7,-2.315294790043146,1.2879179358842228
-1.426,-0.028115830665322167,7,-2.315294790043146,1.2879179358842228
-1.119,-0.26470586488376857,7,-2.315294790043146,1.2879179358842228
-1.015,-0.32565840025318354,7,-2.315294790043146,1.2879179358842228
-0.935,-0.3645251213838897,7,-2.315294790043146,1.2879179358842228
-0.927,-0.36800586996125556,7,-2.315294790043146,1.2879179358842228
-0.807,-0.41100764309356264,7,-2.315294790043146,1.2879179358842228
-0.803,-0.41213820914204485,7,-2.315294790043146,1.2879179358842228
-0.803,-0.41213820914204485,7,-2.315294790043146,1.2879179358842228
-0.793,-0.4148776271878321,7,-2.315294790043146,1.2879179358842228
-0.702,-0.43407327294341574,7,-2.315294790043146,1.2879179358842228
-0.576,-0.44350557963962356,7,-2.315294790043146,1.2879179358842228
-0.455,-0.4337702760946698,7,-2.315294790043146,1.2879179358842228
-0.432,-0.42986099862363203,7,-2.315294790043146,1.2879179358842228
